"country","continent","year","lifeExp","pop","gdpPercap","order"
"Burkina Faso","Africa",1987,49.557,7586551,912.0631,56
"Burkina Faso","Africa",1992,50.26,8878303,931.7528,57
"Burkina Faso","Africa",1997,50.324,10352843,946.295,58
"Burkina Faso","Africa",2002,50.65,12251209,1037.6452,59
"Burkina Faso","Africa",2007,52.295,14326203,1217.033,60
"Burundi","Africa",1952,39.031,2445618,339.2965,61
"Burundi","Africa",1957,40.533,2667518,379.5646,62
"Burundi","Africa",1962,42.045,2961915,355.2032,63
"Burundi","Africa",1967,43.548,3330989,412.9775,64
"Burundi","Africa",1972,44.057,3529983,464.0995,65
"Burundi","Africa",1977,45.91,3834415,556.1033,66
"Burundi","Africa",1982,47.471,4580410,559.6032,67
"Burundi","Africa",1987,48.211,5126023,621.8188,68
"Burundi","Africa",1992,44.736,5809236,631.6999,69
"Burundi","Africa",1997,45.326,6121610,463.1151,70
"Burundi","Africa",2002,47.36,7021078,446.4035,71
"Burundi","Africa",2007,49.58,8390505,430.0707,72
"Cameroon","Africa",1952,38.523,5009067,1172.6677,73
"Cameroon","Africa",1957,40.428,5359923,1313.0481,74
"Cameroon","Africa",1962,42.643,5793633,1399.6074,75
"Cameroon","Africa",1967,44.799,6335506,1508.4531,76
"Cameroon","Africa",1972,47.049,7021028,1684.1465,77
"Cameroon","Africa",1977,49.355,7959865,1783.4329,78
"Cameroon","Africa",1982,52.961,9250831,2367.9833,79
"Cameroon","Africa",1987,54.985,10780667,2602.6642,80
"Cameroon","Africa",1992,54.314,12467171,1793.1633,81
"Cameroon","Africa",1997,52.199,14195809,1694.3375,82
"Cameroon","Africa",2002,49.856,15929988,1934.0114,83
"Cameroon","Africa",2007,50.43,17696293,2042.0952,84
"Central African Republic","Africa",1952,35.463,1291695,1071.3107,85
"Central African Republic","Africa",1957,37.464,1392284,1190.8443,86
"Central African Republic","Africa",1962,39.475,1523478,1193.0688,87
"Central African Republic","Africa",1967,41.478,1733638,1136.0566,88
"Central African Republic","Africa",1972,43.457,1927260,1070.0133,89
"Central African Republic","Africa",1977,46.775,2167533,1109.3743,90
"Central African Republic","Africa",1982,48.295,2476971,956.753,91
"Central African Republic","Africa",1987,50.485,2840009,844.8764,92
"Central African Republic","Africa",1992,49.396,3265124,747.9055,93
"Central African Republic","Africa",1997,46.066,3696513,740.5063,94
"Central African Republic","Africa",2002,43.308,4048013,738.6906,95
"Central African Republic","Africa",2007,44.741,4369038,706.0165,96
"Chad","Africa",1952,38.092,2682462,1178.6659,97
"Chad","Africa",1957,39.881,2894855,1308.4956,98
"Chad","Africa",1962,41.716,3150417,1389.8176,99
"Chad","Africa",1967,43.601,3495967,1196.8106,100
"Chad","Africa",1972,45.569,3899068,1104.104,101
"Chad","Africa",1977,47.383,4388260,1133.985,102
"Chad","Africa",1982,49.517,4875118,797.9081,103
"Chad","Africa",1987,51.051,5498955,952.3861,104
"Chad","Africa",1992,51.724,6429417,1058.0643,105
"Chad","Africa",1997,51.573,7562011,1004.9614,106
"Chad","Africa",2002,50.525,8835739,1156.1819,107
"Chad","Africa",2007,50.651,10238807,1704.0637,108
"Comoros","Africa",1952,40.715,153936,1102.9909,109
"Comoros","Africa",1957,42.46,170928,1211.1485,110
"Comoros","Africa",1962,44.467,191689,1406.6483,111
"Comoros","Africa",1967,46.472,217378,1876.0296,112
"Comoros","Africa",1972,48.944,250027,1937.5777,113
"Comoros","Africa",1977,50.939,304739,1172.603,114
"Comoros","Africa",1982,52.933,348643,1267.1001,115
"Comoros","Africa",1987,54.926,395114,1315.9808,116
"Comoros","Africa",1992,57.939,454429,1246.9074,117
"Comoros","Africa",1997,60.66,527982,1173.6182,118
"Comoros","Africa",2002,62.974,614382,1075.8116,119
"Comoros","Africa",2007,65.152,710960,986.1479,120
"Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423,121
"Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602,122
"Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146,123
"Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932,124
"Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8961,125
"Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.7573,126
"Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478,127
"Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.7748,128
"Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7192,129
"Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.1884,130
"Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1659,131
"Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5519,132
"Congo, Rep.","Africa",1952,42.111,854885,2125.6214,133
"Congo, Rep.","Africa",1957,45.053,940458,2315.0566,134
"Congo, Rep.","Africa",1962,48.435,1047924,2464.7832,135
"Congo, Rep.","Africa",1967,52.04,1179760,2677.9396,136
"Congo, Rep.","Africa",1972,54.907,1340458,3213.1527,137
"Congo, Rep.","Africa",1977,55.625,1536769,3259.179,138
"Congo, Rep.","Africa",1982,56.695,1774735,4879.5075,139
"Congo, Rep.","Africa",1987,57.47,2064095,4201.1949,140
"Congo, Rep.","Africa",1992,56.433,2409073,4016.2395,141
"Congo, Rep.","Africa",1997,52.962,2800947,3484.1644,142
"Congo, Rep.","Africa",2002,52.97,3328795,3484.062,143
"Congo, Rep.","Africa",2007,55.322,3800610,3632.5578,144
"Cote d'Ivoire","Africa",1952,40.477,2977019,1388.5947,145
"Cote d'Ivoire","Africa",1957,42.469,3300000,1500.8959,146
"Cote d'Ivoire","Africa",1962,44.93,3832408,1728.8694,147
"Cote d'Ivoire","Africa",1967,47.35,4744870,2052.0505,148
"Cote d'Ivoire","Africa",1972,49.801,6071696,2378.2011,149
"Cote d'Ivoire","Africa",1977,52.374,7459574,2517.7365,150
"Cote d'Ivoire","Africa",1982,53.983,9025951,2602.7102,151
"Cote d'Ivoire","Africa",1987,54.655,10761098,2156.9561,152
"Cote d'Ivoire","Africa",1992,52.044,12772596,1648.0738,153
"Cote d'Ivoire","Africa",1997,47.991,14625967,1786.2654,154
"Cote d'Ivoire","Africa",2002,46.832,16252726,1648.8008,155
"Cote d'Ivoire","Africa",2007,48.328,18013409,1544.7501,156
"Djibouti","Africa",1952,34.812,63149,2669.5295,157
"Djibouti","Africa",1957,37.328,71851,2864.9691,158
"Djibouti","Africa",1962,39.693,89898,3020.9893,159
"Djibouti","Africa",1967,42.074,127617,3020.0505,160
"Djibouti","Africa",1972,44.366,178848,3694.2124,161
"Djibouti","Africa",1977,46.519,228694,3081.761,162
"Djibouti","Africa",1982,48.812,305991,2879.4681,163
"Djibouti","Africa",1987,50.04,311025,2880.1026,164
"Djibouti","Africa",1992,51.604,384156,2377.1562,165
"Djibouti","Africa",1997,53.157,417908,1895.017,166
"Djibouti","Africa",2002,53.373,447416,1908.2609,167
"Djibouti","Africa",2007,54.791,496374,2082.4816,168
"Egypt","Africa",1952,41.893,22223309,1418.8224,169
"Egypt","Africa",1957,44.444,25009741,1458.9153,170
"Egypt","Africa",1962,46.992,28173309,1693.3359,171
"Egypt","Africa",1967,49.293,31681188,1814.8807,172
"Egypt","Africa",1972,51.137,34807417,2024.0081,173
"Egypt","Africa",1977,53.319,38783863,2785.4936,174
"Egypt","Africa",1982,56.006,45681811,3503.7296,175
"Egypt","Africa",1987,59.797,52799062,3885.4607,176
"Egypt","Africa",1992,63.674,59402198,3794.7552,177
"Egypt","Africa",1997,67.217,66134291,4173.1818,178
"Egypt","Africa",2002,69.806,73312559,4754.6044,179
"Egypt","Africa",2007,71.338,80264543,5581.181,180
"Equatorial Guinea","Africa",1952,34.482,216964,375.6431,181
"Equatorial Guinea","Africa",1957,35.983,232922,426.0964,182
"Equatorial Guinea","Africa",1962,37.485,249220,582.842,183
"Equatorial Guinea","Africa",1967,38.987,259864,915.596,184
"Equatorial Guinea","Africa",1972,40.516,277603,672.4123,185
"Equatorial Guinea","Africa",1977,42.024,192675,958.5668,186
"Equatorial Guinea","Africa",1982,43.662,285483,927.8253,187
"Equatorial Guinea","Africa",1987,45.664,341244,966.8968,188
"Equatorial Guinea","Africa",1992,47.545,387838,1132.055,189
"Equatorial Guinea","Africa",1997,48.245,439971,2814.4808,190
"Equatorial Guinea","Africa",2002,49.348,495627,7703.4959,191
"Equatorial Guinea","Africa",2007,51.579,551201,12154.0897,192
"Eritrea","Africa",1952,35.928,1438760,328.9406,193
"Eritrea","Africa",1957,38.047,1542611,344.1619,194
"Eritrea","Africa",1962,40.158,1666618,380.9958,195
"Eritrea","Africa",1967,42.189,1820319,468.795,196
"Eritrea","Africa",1972,44.142,2260187,514.3242,197
"Eritrea","Africa",1977,44.535,2512642,505.7538,198
"Eritrea","Africa",1982,43.89,2637297,524.8758,199
"Eritrea","Africa",1987,46.453,2915959,521.1341,200
"Eritrea","Africa",1992,49.991,3668440,582.8585,201
"Eritrea","Africa",1997,53.378,4058319,913.4708,202
"Eritrea","Africa",2002,55.24,4414865,765.35,203
"Eritrea","Africa",2007,58.04,4906585,641.3695,204
"Ethiopia","Africa",1952,34.078,20860941,362.1463,205
"Ethiopia","Africa",1957,36.667,22815614,378.9042,206
"Ethiopia","Africa",1962,40.059,25145372,419.4564,207
"Ethiopia","Africa",1967,42.115,27860297,516.1186,208
"Ethiopia","Africa",1972,43.515,30770372,566.2439,209
"Ethiopia","Africa",1977,44.51,34617799,556.8084,210
"Ethiopia","Africa",1982,44.916,38111756,577.8607,211
"Ethiopia","Africa",1987,46.684,42999530,573.7413,212
"Ethiopia","Africa",1992,48.091,52088559,421.3535,213
"Ethiopia","Africa",1997,49.402,59861301,515.8894,214
"Ethiopia","Africa",2002,50.725,67946797,530.0535,215
"Ethiopia","Africa",2007,52.947,76511887,690.8056,216
"Gabon","Africa",1952,37.003,420702,4293.4765,217
"Gabon","Africa",1957,38.999,434904,4976.1981,218
"Gabon","Africa",1962,40.489,455661,6631.4592,219
"Gabon","Africa",1967,44.598,489004,8358.762,220
"Gabon","Africa",1972,48.69,537977,11401.9484,221
"Gabon","Africa",1977,52.79,706367,21745.5733,222
"Gabon","Africa",1982,56.564,753874,15113.3619,223
"Gabon","Africa",1987,60.19,880397,11864.4084,224
"Gabon","Africa",1992,61.366,985739,13522.1575,225
"Gabon","Africa",1997,60.461,1126189,14722.8419,226
"Gabon","Africa",2002,56.761,1299304,12521.7139,227
"Gabon","Africa",2007,56.735,1454867,13206.4845,228
"Gambia","Africa",1952,30,284320,485.2307,229
"Gambia","Africa",1957,32.065,323150,520.9267,230
"Gambia","Africa",1962,33.896,374020,599.6503,231
"Gambia","Africa",1967,35.857,439593,734.7829,232
"Gambia","Africa",1972,38.308,517101,756.0868,233
"Gambia","Africa",1977,41.842,608274,884.7553,234
"Gambia","Africa",1982,45.58,715523,835.8096,235
"Gambia","Africa",1987,49.265,848406,611.6589,236
"Gambia","Africa",1992,52.644,1025384,665.6244,237
"Gambia","Africa",1997,55.861,1235767,653.7302,238
"Gambia","Africa",2002,58.041,1457766,660.5856,239
"Gambia","Africa",2007,59.448,1688359,752.7497,240
"Ghana","Africa",1952,43.149,5581001,911.2989,241
"Ghana","Africa",1957,44.779,6391288,1043.5615,242
"Ghana","Africa",1962,46.452,7355248,1190.0411,243
"Ghana","Africa",1967,48.072,8490213,1125.6972,244
"Ghana","Africa",1972,49.875,9354120,1178.2237,245
"Ghana","Africa",1977,51.756,10538093,993.224,246
"Ghana","Africa",1982,53.744,11400338,876.0326,247
"Ghana","Africa",1987,55.729,14168101,847.0061,248
"Ghana","Africa",1992,57.501,16278738,925.0602,249
"Ghana","Africa",1997,58.556,18418288,1005.2458,250
"Ghana","Africa",2002,58.453,20550751,1111.9846,251
"Ghana","Africa",2007,60.022,22873338,1327.6089,252
"Guinea","Africa",1952,33.609,2664249,510.1965,253
"Guinea","Africa",1957,34.558,2876726,576.267,254
"Guinea","Africa",1962,35.753,3140003,686.3737,255
"Guinea","Africa",1967,37.197,3451418,708.7595,256
"Guinea","Africa",1972,38.842,3811387,741.6662,257
"Guinea","Africa",1977,40.762,4227026,874.6859,258
"Guinea","Africa",1982,42.891,4710497,857.2504,259
"Guinea","Africa",1987,45.552,5650262,805.5725,260
"Guinea","Africa",1992,48.576,6990574,794.3484,261
"Guinea","Africa",1997,51.455,8048834,869.4498,262
"Guinea","Africa",2002,53.676,8807818,945.5836,263
"Guinea","Africa",2007,56.007,9947814,942.6542,264
"Guinea-Bissau","Africa",1952,32.5,580653,299.8503,265
"Guinea-Bissau","Africa",1957,33.489,601095,431.7905,266
"Guinea-Bissau","Africa",1962,34.488,627820,522.0344,267
"Guinea-Bissau","Africa",1967,35.492,601287,715.5806,268
"Guinea-Bissau","Africa",1972,36.486,625361,820.2246,269
"Guinea-Bissau","Africa",1977,37.465,745228,764.726,270
"Guinea-Bissau","Africa",1982,39.327,825987,838.124,271
"Guinea-Bissau","Africa",1987,41.245,927524,736.4154,272
"Guinea-Bissau","Africa",1992,43.266,1050938,745.5399,273
"Guinea-Bissau","Africa",1997,44.873,1193708,796.6645,274
"Guinea-Bissau","Africa",2002,45.504,1332459,575.7047,275
"Guinea-Bissau","Africa",2007,46.388,1472041,579.2317,276
"Kenya","Africa",1952,42.27,6464046,853.5409,277
"Kenya","Africa",1957,44.686,7454779,944.4383,278
"Kenya","Africa",1962,47.949,8678557,896.9664,279
"Kenya","Africa",1967,50.654,10191512,1056.7365,280
"Kenya","Africa",1972,53.559,12044785,1222.36,281
"Kenya","Africa",1977,56.155,14500404,1267.6132,282
"Kenya","Africa",1982,58.766,17661452,1348.2258,283
"Kenya","Africa",1987,59.339,21198082,1361.9369,284
"Kenya","Africa",1992,59.285,25020539,1341.9217,285
"Kenya","Africa",1997,54.407,28263827,1360.485,286
"Kenya","Africa",2002,50.992,31386842,1287.5147,287
"Kenya","Africa",2007,54.11,35610177,1463.2493,288
"Lesotho","Africa",1952,42.138,748747,298.8462,289
"Lesotho","Africa",1957,45.047,813338,335.9971,290
"Lesotho","Africa",1962,47.747,893143,411.8006,291
"Lesotho","Africa",1967,48.492,996380,498.639,292
"Lesotho","Africa",1972,49.767,1116779,496.5816,293
"Lesotho","Africa",1977,52.208,1251524,745.3695,294
"Lesotho","Africa",1982,55.078,1411807,797.2631,295
"Lesotho","Africa",1987,57.18,1599200,773.9932,296
"Lesotho","Africa",1992,59.685,1803195,977.4863,297
"Lesotho","Africa",1997,55.558,1982823,1186.148,298
"Lesotho","Africa",2002,44.593,2046772,1275.1846,299
"Lesotho","Africa",2007,42.592,2012649,1569.3314,300
"Liberia","Africa",1952,38.48,863308,575.573,301
"Liberia","Africa",1957,39.486,975950,620.97,302
"Liberia","Africa",1962,40.502,1112796,634.1952,303
"Liberia","Africa",1967,41.536,1279406,713.6036,304
"Liberia","Africa",1972,42.614,1482628,803.0055,305
"Liberia","Africa",1977,43.764,1703617,640.3224,306
"Liberia","Africa",1982,44.852,1956875,572.1996,307
"Liberia","Africa",1987,46.027,2269414,506.1139,308
"Liberia","Africa",1992,40.802,1912974,636.6229,309
"Liberia","Africa",1997,42.221,2200725,609.174,310
"Liberia","Africa",2002,43.753,2814651,531.4824,311
"Liberia","Africa",2007,45.678,3193942,414.5073,312
"Libya","Africa",1952,42.723,1019729,2387.5481,313
"Libya","Africa",1957,45.289,1201578,3448.2844,314
"Libya","Africa",1962,47.808,1441863,6757.0308,315
"Libya","Africa",1967,50.227,1759224,18772.7517,316
"Libya","Africa",1972,52.773,2183877,21011.4972,317
"Libya","Africa",1977,57.442,2721783,21951.2118,318
"Libya","Africa",1982,62.155,3344074,17364.2754,319
"Libya","Africa",1987,66.234,3799845,11770.5898,320
"Libya","Africa",1992,68.755,4364501,9640.1385,321
"Libya","Africa",1997,71.555,4759670,9467.4461,322
"Libya","Africa",2002,72.737,5368585,9534.6775,323
"Libya","Africa",2007,73.952,6036914,12057.4993,324
"Madagascar","Africa",1952,36.681,4762912,1443.0117,325
"Madagascar","Africa",1957,38.865,5181679,1589.2027,326
"Madagascar","Africa",1962,40.848,5703324,1643.3871,327
"Madagascar","Africa",1967,42.881,6334556,1634.0473,328
"Madagascar","Africa",1972,44.851,7082430,1748.563,329
"Madagascar","Africa",1977,46.881,8007166,1544.2286,330
"Madagascar","Africa",1982,48.969,9171477,1302.8787,331
"Madagascar","Africa",1987,49.35,10568642,1155.4419,332
"Madagascar","Africa",1992,52.214,12210395,1040.6762,333
"Madagascar","Africa",1997,54.978,14165114,986.2959,334
"Madagascar","Africa",2002,57.286,16473477,894.6371,335
"Madagascar","Africa",2007,59.443,19167654,1044.7701,336
"Malawi","Africa",1952,36.256,2917802,369.1651,337
"Malawi","Africa",1957,37.207,3221238,416.3698,338
"Malawi","Africa",1962,38.41,3628608,427.9011,339
"Malawi","Africa",1967,39.487,4147252,495.5148,340
"Malawi","Africa",1972,41.766,4730997,584.622,341
"Malawi","Africa",1977,43.767,5637246,663.2237,342
"Malawi","Africa",1982,45.642,6502825,632.8039,343
"Malawi","Africa",1987,47.457,7824747,635.5174,344
"Malawi","Africa",1992,49.42,10014249,563.2,345
"Malawi","Africa",1997,47.495,10419991,692.2758,346
"Malawi","Africa",2002,45.009,11824495,665.4231,347
"Malawi","Africa",2007,48.303,13327079,759.3499,348
"Mali","Africa",1952,33.685,3838168,452.337,349
"Mali","Africa",1957,35.307,4241884,490.3822,350
"Mali","Africa",1962,36.936,4690372,496.1743,351
"Mali","Africa",1967,38.487,5212416,545.0099,352
"Mali","Africa",1972,39.977,5828158,581.3689,353
"Mali","Africa",1977,41.714,6491649,686.3953,354
"Mali","Africa",1982,43.916,6998256,618.0141,355
"Mali","Africa",1987,46.364,7634008,684.1716,356
"Mali","Africa",1992,48.388,8416215,739.0144,357
"Mali","Africa",1997,49.903,9384984,790.258,358
"Mali","Africa",2002,51.818,10580176,951.4098,359
"Mali","Africa",2007,54.467,12031795,1042.5816,360
"Mauritania","Africa",1952,40.543,1022556,743.1159,361
"Mauritania","Africa",1957,42.338,1076852,846.1203,362
"Mauritania","Africa",1962,44.248,1146757,1055.896,363
"Mauritania","Africa",1967,46.289,1230542,1421.1452,364
"Mauritania","Africa",1972,48.437,1332786,1586.8518,365
"Mauritania","Africa",1977,50.852,1456688,1497.4922,366
"Mauritania","Africa",1982,53.599,1622136,1481.1502,367
"Mauritania","Africa",1987,56.145,1841240,1421.6036,368
"Mauritania","Africa",1992,58.333,2119465,1361.3698,369
"Mauritania","Africa",1997,60.43,2444741,1483.1361,370
"Mauritania","Africa",2002,62.247,2828858,1579.0195,371
"Mauritania","Africa",2007,64.164,3270065,1803.1515,372
"Mauritius","Africa",1952,50.986,516556,1967.9557,373
"Mauritius","Africa",1957,58.089,609816,2034.038,374
"Mauritius","Africa",1962,60.246,701016,2529.0675,375
"Mauritius","Africa",1967,61.557,789309,2475.3876,376
"Mauritius","Africa",1972,62.944,851334,2575.4842,377
"Mauritius","Africa",1977,64.93,913025,3710.983,378
"Mauritius","Africa",1982,66.711,992040,3688.0377,379
"Mauritius","Africa",1987,68.74,1042663,4783.5869,380
"Mauritius","Africa",1992,69.745,1096202,6058.2538,381
"Mauritius","Africa",1997,70.736,1149818,7425.7053,382
"Mauritius","Africa",2002,71.954,1200206,9021.8159,383
"Mauritius","Africa",2007,72.801,1250882,10956.9911,384
"Morocco","Africa",1952,42.873,9939217,1688.2036,385
"Morocco","Africa",1957,45.423,11406350,1642.0023,386
"Morocco","Africa",1962,47.924,13056604,1566.3535,387
"Morocco","Africa",1967,50.335,14770296,1711.0448,388
"Morocco","Africa",1972,52.862,16660670,1930.195,389
"Morocco","Africa",1977,55.73,18396941,2370.62,390
"Morocco","Africa",1982,59.65,20198730,2702.6204,391
"Morocco","Africa",1987,62.677,22987397,2755.047,392
"Morocco","Africa",1992,65.393,25798239,2948.0473,393
"Morocco","Africa",1997,67.66,28529501,2982.1019,394
"Morocco","Africa",2002,69.615,31167783,3258.4956,395
"Morocco","Africa",2007,71.164,33757175,3820.1752,396
"Mozambique","Africa",1952,31.286,6446316,468.526,397
"Mozambique","Africa",1957,33.779,7038035,495.5868,398
"Mozambique","Africa",1962,36.161,7788944,556.6864,399
"Mozambique","Africa",1967,38.113,8680909,566.6692,400
"Mozambique","Africa",1972,40.328,9809596,724.9178,401
"Mozambique","Africa",1977,42.495,11127868,502.3197,402
"Mozambique","Africa",1982,42.795,12587223,462.2114,403
"Mozambique","Africa",1987,42.861,12891952,389.8762,404
"Mozambique","Africa",1992,44.284,13160731,410.8968,405
"Mozambique","Africa",1997,46.344,16603334,472.3461,406
"Mozambique","Africa",2002,44.026,18473780,633.6179,407
"Mozambique","Africa",2007,42.082,19951656,823.6856,408
"Namibia","Africa",1952,41.725,485831,2423.7804,409
"Namibia","Africa",1957,45.226,548080,2621.4481,410
"Namibia","Africa",1962,48.386,621392,3173.2156,411
"Namibia","Africa",1967,51.159,706640,3793.6948,412
"Namibia","Africa",1972,53.867,821782,3746.0809,413
"Namibia","Africa",1977,56.437,977026,3876.486,414
"Namibia","Africa",1982,58.968,1099010,4191.1005,415
"Namibia","Africa",1987,60.835,1278184,3693.7313,416
"Namibia","Africa",1992,61.999,1554253,3804.538,417
"Namibia","Africa",1997,58.909,1774766,3899.5243,418
"Namibia","Africa",2002,51.479,1972153,4072.3248,419
"Namibia","Africa",2007,52.906,2055080,4811.0604,420
"Niger","Africa",1952,37.444,3379468,761.8794,421
"Niger","Africa",1957,38.598,3692184,835.5234,422
"Niger","Africa",1962,39.487,4076008,997.7661,423
"Niger","Africa",1967,40.118,4534062,1054.3849,424
"Niger","Africa",1972,40.546,5060262,954.2092,425
"Niger","Africa",1977,41.291,5682086,808.8971,426
"Niger","Africa",1982,42.598,6437188,909.7221,427
"Niger","Africa",1987,44.555,7332638,668.3,428
"Niger","Africa",1992,47.391,8392818,581.1827,429
"Niger","Africa",1997,51.313,9666252,580.3052,430
"Niger","Africa",2002,54.496,11140655,601.0745,431
"Niger","Africa",2007,56.867,12894865,619.6769,432
"Nigeria","Africa",1952,36.324,33119096,1077.2819,433
"Nigeria","Africa",1957,37.802,37173340,1100.5926,434
"Nigeria","Africa",1962,39.36,41871351,1150.9275,435
"Nigeria","Africa",1967,41.04,47287752,1014.5141,436
"Nigeria","Africa",1972,42.821,53740085,1698.3888,437
"Nigeria","Africa",1977,44.514,62209173,1981.9518,438
"Nigeria","Africa",1982,45.826,73039376,1576.9738,439
"Nigeria","Africa",1987,46.886,81551520,1385.0296,440
"Nigeria","Africa",1992,47.472,93364244,1619.8482,441
"Nigeria","Africa",1997,47.464,106207839,1624.9413,442
"Nigeria","Africa",2002,46.608,119901274,1615.2864,443
"Nigeria","Africa",2007,46.859,135031164,2013.9773,444
"Reunion","Africa",1952,52.724,257700,2718.8853,445
"Reunion","Africa",1957,55.09,308700,2769.4518,446
"Reunion","Africa",1962,57.666,358900,3173.7233,447
"Reunion","Africa",1967,60.542,414024,4021.1757,448
"Reunion","Africa",1972,64.274,461633,5047.6586,449
"Reunion","Africa",1977,67.064,492095,4319.8041,450
"Reunion","Africa",1982,69.885,517810,5267.2194,451
"Reunion","Africa",1987,71.913,562035,5303.3775,452
"Reunion","Africa",1992,73.615,622191,6101.2558,453
"Reunion","Africa",1997,74.772,684810,6071.9414,454
"Reunion","Africa",2002,75.744,743981,6316.1652,455
"Reunion","Africa",2007,76.442,798094,7670.1226,456
"Rwanda","Africa",1952,40,2534927,493.3239,457
"Rwanda","Africa",1957,41.5,2822082,540.2894,458
"Rwanda","Africa",1962,43,3051242,597.4731,459
"Rwanda","Africa",1967,44.1,3451079,510.9637,460
"Rwanda","Africa",1972,44.6,3992121,590.5807,461
"Rwanda","Africa",1977,45,4657072,670.0806,462
"Rwanda","Africa",1982,46.218,5507565,881.5706,463
"Rwanda","Africa",1987,44.02,6349365,847.9912,464
"Rwanda","Africa",1992,23.599,7290203,737.0686,465
"Rwanda","Africa",1997,36.087,7212583,589.9445,466
"Rwanda","Africa",2002,43.413,7852401,785.6538,467
"Rwanda","Africa",2007,46.242,8860588,863.0885,468
"Sao Tome and Principe","Africa",1952,46.471,60011,879.5836,469
"Sao Tome and Principe","Africa",1957,48.945,61325,860.7369,470
"Sao Tome and Principe","Africa",1962,51.893,65345,1071.5511,471
"Sao Tome and Principe","Africa",1967,54.425,70787,1384.8406,472
"Sao Tome and Principe","Africa",1972,56.48,76595,1532.9853,473
"Sao Tome and Principe","Africa",1977,58.55,86796,1737.5617,474
"Sao Tome and Principe","Africa",1982,60.351,98593,1890.2181,475
"Sao Tome and Principe","Africa",1987,61.728,110812,1516.5255,476
